RNCs;Cells Label;Cells
BHRNC03;UGRANP6;BHRNC03_UGRANP6
BHRNC03;UHILAC1;BHRNC03_UHILAC1
BHRNC03;UHILAC2;BHRNC03_UHILAC2
BHRNC03;UHILAC3;BHRNC03_UHILAC3
BHRNC03;UHILAC4;BHRNC03_UHILAC4
BHRNC03;UHILAC5;BHRNC03_UHILAC5
BHRNC03;UHILAC6;BHRNC03_UHILAC6
BHRNC03;UAGOUE1;BHRNC03_UAGOUE1
BHRNC03;UAGOUE2;BHRNC03_UAGOUE2
BHRNC03;UAGOUE3;BHRNC03_UAGOUE3
BHRNC03;UAGOUE4;BHRNC03_UAGOUE4
BHRNC03;UAGOUE5;BHRNC03_UAGOUE5
BHRNC03;UAGOUE6;BHRNC03_UAGOUE6
BHRNC03;UAGOU21;BHRNC03_UAGOU21
BHRNC03;USEKOU1;BHRNC03_USEKOU1
BHRNC03;UHOUEY1;BHRNC03_UHOUEY1
BHRNC03;UPOSSO1;BHRNC03_UPOSSO1
BHRNC03;UTORIB1;BHRNC03_UTORIB1
BHRNC03;UAKODE1;BHRNC03_UAKODE1
BHRNC03;ULOKO11;BHRNC03_ULOKO11
BHRNC03;ULOKO12;BHRNC03_ULOKO12
BHRNC03;ULOKO13;BHRNC03_ULOKO13
BHRNC03;ULOKO14;BHRNC03_ULOKO14
BHRNC03;ULOKO15;BHRNC03_ULOKO15
BHRNC03;ULOKO16;BHRNC03_ULOKO16
BHRNC03;ULOKO26;BHRNC03_ULOKO26
BHRNC03;ULOKO21;BHRNC03_ULOKO21
BHRNC03;ULOKO22;BHRNC03_ULOKO22
BHRNC03;ULOKO23;BHRNC03_ULOKO23
BHRNC03;ULOKO24;BHRNC03_ULOKO24
BHRNC03;ULOKO25;BHRNC03_ULOKO25
BHRNC03;ULOKO31;BHRNC03_ULOKO31
BHRNC03;ULOKO32;BHRNC03_ULOKO32
BHRNC03;ULOKO33;BHRNC03_ULOKO33
BHRNC03;ULOKO34;BHRNC03_ULOKO34
BHRNC03;ULOKO35;BHRNC03_ULOKO35
BHRNC03;ULOKO36;BHRNC03_ULOKO36
BHRNC03;ULOKO46;BHRNC03_ULOKO46
BHRNC03;ULOKO45;BHRNC03_ULOKO45
BHRNC03;ULOKO41;BHRNC03_ULOKO41
BHRNC03;ULOKO42;BHRNC03_ULOKO42
BHRNC03;ULOKO43;BHRNC03_ULOKO43
BHRNC03;ULOKO44;BHRNC03_ULOKO44
BHRNC03;UALLAD6;BHRNC03_UALLAD6
BHRNC03;UALLAD1;BHRNC03_UALLAD1
BHRNC03;UALLAD2;BHRNC03_UALLAD2
BHRNC03;UBOPA7;BHRNC03_UBOPA7
BHRNC03;UBOPA8;BHRNC03_UBOPA8
BHRNC03;UBOPA9;BHRNC03_UBOPA9
BHRNC03;UBOPA1;BHRNC03_UBOPA1
BHRNC03;USE23;BHRNC03_USE23
BHRNC03;USE22;BHRNC03_USE22
BHRNC03;USE21;BHRNC03_USE21
BHRNC03;UALLAD3;BHRNC03_UALLAD3
BHRNC03;UALLAD4;BHRNC03_UALLAD4
BHRNC03;UALLAD5;BHRNC03_UALLAD5
BHRNC03;UALLA21;BHRNC03_UALLA21
BHRNC03;UATTOG3;BHRNC03_UATTOG3
BHRNC03;UATTOG2;BHRNC03_UATTOG2
BHRNC03;UATTOG1;BHRNC03_UATTOG1
BHRNC03;UOUEGB1;BHRNC03_UOUEGB1
BHRNC03;UTOFFO3;BHRNC03_UTOFFO3
BHRNC03;UTOFFO2;BHRNC03_UTOFFO2
BHRNC03;UTOFFO1;BHRNC03_UTOFFO1
BHRNC03;USEHOU1;BHRNC03_USEHOU1
BHRNC03;UPOBE1;BHRNC03_UPOBE1
BHRNC03;UMASSE1;BHRNC03_UMASSE1
BHRNC03;UKETO11;BHRNC03_UKETO11
BHRNC03;UKETO31;BHRNC03_UKETO31
BHRNC03;UDANGB1;BHRNC03_UDANGB1
BHRNC03;UDANGB9;BHRNC03_UDANGB9
BHRNC03;UDANGB8;BHRNC03_UDANGB8
BHRNC03;UDANGB7;BHRNC03_UDANGB7
BHRNC03;UAZOWL7;BHRNC03_UAZOWL7
BHRNC03;UAZOWL8;BHRNC03_UAZOWL8
BHRNC03;UAZOWL9;BHRNC03_UAZOWL9
BHRNC03;UZE1;BHRNC03_UZE1
BHRNC03;UZE2;BHRNC03_UZE2
BHRNC03;UZE3;BHRNC03_UZE3
BHRNC03;UGRAN21;BHRNC03_UGRAN21
BHRNC03;UGRAN22;BHRNC03_UGRAN22
BHRNC03;UGRAN23;BHRNC03_UGRAN23
BHRNC03;UGRAN24;BHRNC03_UGRAN24
BHRNC03;UGRAN25;BHRNC03_UGRAN25
BHRNC03;UGRAN26;BHRNC03_UGRAN26
BHRNC03;UALLA27;BHRNC03_UALLA27
BHRNC03;UALLA29;BHRNC03_UALLA29
BHRNC03;UALLA28;BHRNC03_UALLA28
BHRNC03;UALLAD9;BHRNC03_UALLAD9
BHRNC03;UALLAD8;BHRNC03_UALLAD8
BHRNC03;UALLAD7;BHRNC03_UALLAD7
BHRNC03;UALLA37;BHRNC03_UALLA37
BHRNC03;UALLA39;BHRNC03_UALLA39
BHRNC03;UALLA38;BHRNC03_UALLA38
BHRNC03;UCOME9;BHRNC03_UCOME9
BHRNC03;UCOME8;BHRNC03_UCOME8
BHRNC03;UCOME7;BHRNC03_UCOME7
BHRNC03;UCOME27;BHRNC03_UCOME27
BHRNC03;UCOME29;BHRNC03_UCOME29
BHRNC03;UCOME28;BHRNC03_UCOME28
BHRNC03;UCOME37;BHRNC03_UCOME37
BHRNC03;UCOME38;BHRNC03_UCOME38
BHRNC03;UCOME39;BHRNC03_UCOME39
BHRNC03;USEDJE9;BHRNC03_USEDJE9
BHRNC03;UPOBE9;BHRNC03_UPOBE9
BHRNC03;UPOBE8;BHRNC03_UPOBE8
BHRNC03;UPOBE7;BHRNC03_UPOBE7
BHRNC03;UCOME47;BHRNC03_UCOME47
BHRNC03;UCOME48;BHRNC03_UCOME48
BHRNC03;UCOME49;BHRNC03_UCOME49
BHRNC03;UPOBE21;BHRNC03_UPOBE21
BHRNC03;UPOBE22;BHRNC03_UPOBE22
BHRNC03;UPOBE23;BHRNC03_UPOBE23
BHRNC03;UPOBE24;BHRNC03_UPOBE24
BHRNC03;UPOBE25;BHRNC03_UPOBE25
BHRNC03;UPOBE26;BHRNC03_UPOBE26
BHRNC03;UONIGB1;BHRNC03_UONIGB1
BHRNC03;UONIGB2;BHRNC03_UONIGB2
BHRNC03;UONIGB3;BHRNC03_UONIGB3
BHRNC03;UONIGB4;BHRNC03_UONIGB4
BHRNC03;UONIGB5;BHRNC03_UONIGB5
BHRNC03;UONIGB6;BHRNC03_UONIGB6
BHRNC03;UCOME58;BHRNC03_UCOME58
BHRNC03;UCOME59;BHRNC03_UCOME59
BHRNC03;UOUID46;BHRNC03_UOUID46
BHRNC03;UOUID45;BHRNC03_UOUID45
BHRNC03;UOUID44;BHRNC03_UOUID44
BHRNC03;UOUID43;BHRNC03_UOUID43
BHRNC03;UOUID42;BHRNC03_UOUID42
BHRNC03;UOUID41;BHRNC03_UOUID41
BHRNC03;UKETO19;BHRNC03_UKETO19
BHRNC03;UKETO18;BHRNC03_UKETO18
BHRNC03;UKETO17;BHRNC03_UKETO17
BHRNC03;UKETO29;BHRNC03_UKETO29
BHRNC03;UKETO28;BHRNC03_UKETO28
BHRNC03;UKETO27;BHRNC03_UKETO27
BHRNC03;UKETO39;BHRNC03_UKETO39
BHRNC03;UKETO38;BHRNC03_UKETO38
BHRNC03;UKETO37;BHRNC03_UKETO37
BHRNC03;UKPANK9;BHRNC03_UKPANK9
BHRNC03;UKPANK8;BHRNC03_UKPANK8
BHRNC03;UKPANK7;BHRNC03_UKPANK7
BHRNC03;UKPOMA9;BHRNC03_UKPOMA9
BHRNC03;UKPOMA8;BHRNC03_UKPOMA8
BHRNC03;UKPOMA7;BHRNC03_UKPOMA7
BHRNC03;UMASSE9;BHRNC03_UMASSE9
BHRNC03;UMASSE8;BHRNC03_UMASSE8
BHRNC03;UMASSE7;BHRNC03_UMASSE7
BHRNC03;UOUEGB9;BHRNC03_UOUEGB9
BHRNC03;UOUEGB8;BHRNC03_UOUEGB8
BHRNC03;UOUEGB7;BHRNC03_UOUEGB7
BHRNC03;USEKOU9;BHRNC03_USEKOU9
BHRNC03;USEKOU8;BHRNC03_USEKOU8
BHRNC03;USEKOU7;BHRNC03_USEKOU7
BHRNC03;UGRANPA;BHRNC03_UGRANPA
BHRNC03;UGRANPB;BHRNC03_UGRANPB
BHRNC03;UGRANPC;BHRNC03_UGRANPC
BHRNC03;UITADJ7;BHRNC03_UITADJ7
BHRNC03;UITADJ8;BHRNC03_UITADJ8
BHRNC03;UITADJ9;BHRNC03_UITADJ9
BHRNC03;UAGONK9;BHRNC03_UAGONK9
BHRNC03;UIFANG9;BHRNC03_UIFANG9
BHRNC03;UIFANG8;BHRNC03_UIFANG8
BHRNC03;UIFANG7;BHRNC03_UIFANG7
BHRNC03;UIGOLO9;BHRNC03_UIGOLO9
BHRNC03;UIGOLO8;BHRNC03_UIGOLO8
BHRNC03;UIGOLO7;BHRNC03_UIGOLO7
BHRNC03;USAKET9;BHRNC03_USAKET9
BHRNC03;USAKET8;BHRNC03_USAKET8
BHRNC03;USAKET7;BHRNC03_USAKET7
BHRNC03;UBONOU9;BHRNC03_UBONOU9
BHRNC03;UBONOU8;BHRNC03_UBONOU8
BHRNC03;UBONOU7;BHRNC03_UBONOU7
BHRNC03;UADJOH9;BHRNC03_UADJOH9
BHRNC03;UADJOH8;BHRNC03_UADJOH8
BHRNC03;UADJOH7;BHRNC03_UADJOH7
BHRNC03;UATHIE7;BHRNC03_UATHIE7
BHRNC03;UATHIE8;BHRNC03_UATHIE8
BHRNC03;UATHIE9;BHRNC03_UATHIE9
BHRNC03;UAHOU1;BHRNC03_UAHOU1
BHRNC03;UAHOU3;BHRNC03_UAHOU3
BHRNC03;UAHOU2;BHRNC03_UAHOU2
BHRNC03;UAHOU4;BHRNC03_UAHOU4
BHRNC03;UAHOU5;BHRNC03_UAHOU5
BHRNC03;UAHOU6;BHRNC03_UAHOU6
BHRNC03;UADJAO7;BHRNC03_UADJAO7
BHRNC03;UADJAO8;BHRNC03_UADJAO8
BHRNC03;UADJAO9;BHRNC03_UADJAO9
BHRNC03;USITM15;BHRNC03_USITM15
BHRNC03;USITM16;BHRNC03_USITM16
BHRNC03;USITM14;BHRNC03_USITM14
BHRNC03;USITM12;BHRNC03_USITM12
BHRNC03;USITM11;BHRNC03_USITM11
BHRNC03;USITM13;BHRNC03_USITM13
BHRNC03;UAHOU9;BHRNC03_UAHOU9
BHRNC03;UAHOU8;BHRNC03_UAHOU8
BHRNC03;UAHOU7;BHRNC03_UAHOU7
BHRNC03;UCOME71;BHRNC03_UCOME71
BHRNC03;UCOME72;BHRNC03_UCOME72
BHRNC03;UCOME73;BHRNC03_UCOME73
BHRNC03;UADAKP7;BHRNC03_UADAKP7
BHRNC03;UADAKP8;BHRNC03_UADAKP8
BHRNC03;UADAKP9;BHRNC03_UADAKP9
BHRNC03;UYOKO17;BHRNC03_UYOKO17
BHRNC03;UYOKO18;BHRNC03_UYOKO18
BHRNC03;UYOKO19;BHRNC03_UYOKO19
BHRNC03;UAGONG6;BHRNC03_UAGONG6
BHRNC03;UAGONG5;BHRNC03_UAGONG5
BHRNC03;UAGONG4;BHRNC03_UAGONG4
BHRNC03;UAGONG3;BHRNC03_UAGONG3
BHRNC03;UAGONG2;BHRNC03_UAGONG2
BHRNC03;UAGONG1;BHRNC03_UAGONG1
BHRNC03;UOUEAD1;BHRNC03_UOUEAD1
BHRNC03;UAGBOT3;BHRNC03_UAGBOT3
BHRNC03;UAGBOT2;BHRNC03_UAGBOT2
BHRNC03;UAGBOT1;BHRNC03_UAGBOT1
BHRNC03;ULOBOG6;BHRNC03_ULOBOG6
BHRNC03;ULOBOG5;BHRNC03_ULOBOG5
BHRNC03;ULOBOG4;BHRNC03_ULOBOG4
BHRNC03;ULOBOG3;BHRNC03_ULOBOG3
BHRNC03;ULOBOG2;BHRNC03_ULOBOG2
BHRNC03;ULOBOG1;BHRNC03_ULOBOG1
BHRNC03;UCOME7A;BHRNC03_UCOME7A
BHRNC03;UCOME7B;BHRNC03_UCOME7B
BHRNC03;UCOME7C;BHRNC03_UCOME7C
BHRNC03;UCOME2A;BHRNC03_UCOME2A
BHRNC03;UCOME2B;BHRNC03_UCOME2B
BHRNC03;UCOME2C;BHRNC03_UCOME2C
BHRNC03;UCOME3A;BHRNC03_UCOME3A
BHRNC03;UCOME3B;BHRNC03_UCOME3B
BHRNC03;UCOME3C;BHRNC03_UCOME3C
BHRNC03;UCOMEA;BHRNC03_UCOMEA
BHRNC03;UCOMEB;BHRNC03_UCOMEB
BHRNC03;UCOMEC;BHRNC03_UCOMEC
BHRNC03;UOUID3A;BHRNC03_UOUID3A
BHRNC03;UOUID3B;BHRNC03_UOUID3B
BHRNC03;UOUID3C;BHRNC03_UOUID3C
BHRNC03;UOUID4A;BHRNC03_UOUID4A
BHRNC03;UOUID4B;BHRNC03_UOUID4B
BHRNC03;UOUID4C;BHRNC03_UOUID4C
BHRNC03;UALLADA;BHRNC03_UALLADA
BHRNC03;UALLADB;BHRNC03_UALLADB
BHRNC03;UALLADC;BHRNC03_UALLADC
BHRNC03;UAGBOTA;BHRNC03_UAGBOTA
BHRNC03;UAGBOTB;BHRNC03_UAGBOTB
BHRNC03;UAGBOTC;BHRNC03_UAGBOTC
BHRNC03;UAGBOT4;BHRNC03_UAGBOT4
BHRNC03;UAGBOT5;BHRNC03_UAGBOT5
BHRNC03;UAGBOT6;BHRNC03_UAGBOT6
BHRNC03;UATTOGA;BHRNC03_UATTOGA
BHRNC03;UATTOGB;BHRNC03_UATTOGB
BHRNC03;UATTOGC;BHRNC03_UATTOGC
BHRNC03;UATTOG4;BHRNC03_UATTOG4
BHRNC03;UATTOG5;BHRNC03_UATTOG5
BHRNC03;UATTOG6;BHRNC03_UATTOG6
BHRNC03;UIDIGNA;BHRNC03_UIDIGNA
BHRNC03;UIDIGNB;BHRNC03_UIDIGNB
BHRNC03;UIDIGNC;BHRNC03_UIDIGNC
BHRNC03;UIDIGN4;BHRNC03_UIDIGN4
BHRNC03;UIDIGN5;BHRNC03_UIDIGN5
BHRNC03;UIDIGN6;BHRNC03_UIDIGN6
BHRNC03;UILARAA;BHRNC03_UILARAA
BHRNC03;UILARAB;BHRNC03_UILARAB
BHRNC03;UILARAC;BHRNC03_UILARAC
BHRNC03;UILARA4;BHRNC03_UILARA4
BHRNC03;UILARA5;BHRNC03_UILARA5
BHRNC03;UILARA6;BHRNC03_UILARA6
BHRNC03;ULOKO1A;BHRNC03_ULOKO1A
BHRNC03;ULOKO1B;BHRNC03_ULOKO1B
BHRNC03;ULOKO1C;BHRNC03_ULOKO1C
BHRNC03;UONIGBA;BHRNC03_UONIGBA
BHRNC03;UONIGBB;BHRNC03_UONIGBB
BHRNC03;UONIGBC;BHRNC03_UONIGBC
BHRNC03;UPOBE2A;BHRNC03_UPOBE2A
BHRNC03;UPOBE2B;BHRNC03_UPOBE2B
